Designator,Mid X,Mid Y,Rotation,Layer
SW42,246.55,-146.915,0.0,top
SW43,265.6,-144.0575,0.0,top
SW44,284.65,-141.2,0.0,top
SW45,303.7,-144.0575,0.0,top
SW46,322.75,-146.915,0.0,top
SW47,341.8,-146.915,0.0,top
SW48,246.55,-165.965,0.0,top
SW49,265.6,-163.1075,0.0,top
SW5,151.3,-105.9575,0.0,top
SW50,284.65,-160.25,0.0,top
SW51,303.7,-163.1075,0.0,top
SW52,322.75,-165.965,0.0,top
SW53,341.8,-165.965,0.0,top
SW54,227.130582,-191.164692,30.0,top
SW55,249.267817,-186.487541,15.0,top
SW56,270.3625,-182.1575,0.0,top
SW57,289.4125,-182.1575,0.0,top
SW58,308.4625,-185.015,0.0,top
SW59,190.0,-161.25,0.0,top
SW6,170.35,-108.815,0.0,top
SW60,226.0,-161.25,0.0,top
SW61,200.0,-147.0,90.0,top
SW62,216.0,-147.0,270.0,top
SW7,75.1,-127.865,0.0,top
SW8,94.15,-127.865,0.0,top
SW9,113.2,-125.0075,0.0,top
